,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
121,constanza,do,47.6603,9.1758,21.12,91.0,13.0,1.08,1626900394.0
122,diosig,ro,47.3,22.0,20.01,77.0,37.0,2.39,1626900394.0
123,vila franca do campo,pt,37.7167,-25.4333,21.23,79.0,23.0,3.96,1626899990.0
124,lerwick,gb,60.1545,-1.1494,12.0,93.0,29.0,4.92,1626900394.0
125,souillac,mu,-20.5167,57.5167,21.21,64.0,20.0,6.69,1626900395.0
126,pacifica,us,37.6138,-122.4869,32.99,73.0,20.0,1.79,1626900395.0
127,mahebourg,mu,-20.4081,57.7,21.16,64.0,20.0,6.69,1626899947.0
128,manono,cd,-7.3,27.4167,25.15,31.0,0.0,2.23,1626900395.0
129,leshukonskoye,ru,64.8989,45.7622,7.53,77.0,45.0,2.09,1626900284.0
130,touros,br,-5.1989,-35.4608,26.5,79.0,7.0,7.1,1626899980.0
131,okhotsk,ru,59.3833,143.3,13.2,97.0,100.0,3.42,1626900396.0
132,vanimo,pg,-2.6741,141.3028,24.85,89.0,86.0,1.85,1626900396.0
133,manta,ec,-0.95,-80.7333,30.88,62.0,20.0,3.09,1626900397.0
134,banjar,id,-8.19,114.9675,25.92,85.0,81.0,2.05,1626900028.0
135,nhulunbuy,au,-12.2333,136.7667,20.34,88.0,61.0,1.54,1626900397.0
136,cayenne,gf,4.9333,-52.3333,30.02,76.0,0.0,1.79,1626900325.0
137,poya,nc,-21.35,165.15,20.1,70.0,6.0,1.76,1626899996.0
138,lasa,cn,46.6166,10.7002,23.49,83.0,80.0,0.99,1626899981.0
139,tarija,bo,-21.5355,-64.7296,24.95,13.0,0.0,2.06,1626900398.0
140,gardez,af,33.5974,69.2259,18.61,40.0,16.0,2.09,1626900398.0
141,solwezi,zm,-12.1688,26.3894,14.61,41.0,0.0,0.99,1626900398.0
142,alice springs,au,-23.7,133.8833,17.75,34.0,83.0,8.23,1626900399.0
143,ribeira grande,pt,38.5167,-28.7,21.22,68.0,75.0,3.6,1626899992.0
144,itumbiara,br,-18.4192,-49.2153,25.25,27.0,0.0,1.78,1626900399.0
145,qaqortoq,gl,60.7167,-46.0333,10.28,99.0,100.0,0.44,1626900399.0
146,zhangye,cn,38.9342,100.4517,23.76,48.0,77.0,1.4,1626900400.0
147,yulara,au,-25.2406,130.9889,12.91,47.0,0.0,3.6,1626900246.0
148,nanortalik,gl,60.1432,-45.2371,6.69,100.0,100.0,2.21,1626899981.0
149,saint george,bm,37.1041,-113.5841,40.26,25.0,1.0,1.79,1626900015.0
150,diapaga,bf,12.0708,1.7889,28.58,60.0,80.0,2.39,1626900400.0
151,luanda,ao,-8.8368,13.2343,22.0,78.0,0.0,3.09,1626900303.0
152,puttur,in,12.7667,75.2167,26.06,88.0,100.0,3.99,1626900401.0
153,kabarnet,ke,0.4919,35.743,13.58,89.0,95.0,1.19,1626900401.0
154,asau,tv,46.4333,26.4,17.75,66.0,100.0,2.07,1626899966.0
155,pocone,br,-16.2567,-56.6228,29.88,17.0,2.0,0.56,1626900289.0
156,sobolevo,ru,54.4299,31.8996,12.33,79.0,32.0,3.87,1626900401.0
157,san luis,mx,-33.295,-66.3356,17.55,24.0,93.0,1.15,1626900402.0
158,oksfjord,no,70.2396,22.3479,10.04,93.0,96.0,3.55,1626900402.0
159,baghdad,iq,33.3406,44.4009,36.95,23.0,0.0,3.09,1626900129.0
160,hithadhoo,mv,-0.6,73.0833,27.75,74.0,100.0,5.22,1626900403.0
161,verkhnyaya inta,ru,65.9811,60.3094,11.76,85.0,95.0,5.77,1626900403.0
162,mehamn,no,71.0357,27.8492,7.1,81.0,75.0,9.77,1626900017.0
163,sembe,cg,1.6481,14.5806,24.41,72.0,100.0,0.87,1626900403.0
164,beringovskiy,ru,63.05,179.3167,11.76,69.0,100.0,1.4,1626900030.0
165,samarai,pg,-10.6167,150.6667,25.02,79.0,96.0,6.79,1626900404.0
166,verkhnevilyuysk,ru,63.4453,120.3167,16.23,84.0,76.0,1.68,1626900404.0
167,asifabad,in,19.3667,79.2833,24.07,95.0,100.0,4.79,1626900404.0
168,te anau,nz,-45.4167,167.7167,4.35,94.0,98.0,1.24,1626900404.0
169,esperance,au,-33.8667,121.9,10.91,68.0,100.0,9.35,1626900062.0
170,karratha,au,-20.7377,116.8463,21.71,70.0,7.0,3.84,1626899980.0
171,georgetown,sh,5.4112,100.3354,28.83,86.0,20.0,1.34,1626899830.0
172,bubaque,gw,11.2833,-15.8333,27.19,80.0,100.0,5.54,1626900010.0
173,biak,id,-0.9131,122.8766,23.6,91.0,100.0,3.53,1626900405.0
174,ewo,cg,-0.8725,14.8206,28.64,37.0,89.0,1.29,1626900093.0
175,hameenlinna,fi,60.996,24.4643,13.19,67.0,17.0,3.26,1626900405.0
176,qingdao,cn,36.0986,120.3719,23.78,83.0,0.0,1.0,1626900406.0
177,mount isa,au,-20.7333,139.5,6.87,70.0,68.0,0.0,1626899952.0
178,umuarama,br,-23.7664,-53.325,16.37,44.0,34.0,2.35,1626900201.0
179,mwinilunga,zm,-11.7358,24.4293,14.36,40.0,15.0,1.87,1626900079.0
180,inhambane,mz,-23.865,35.3833,21.79,64.0,46.0,3.32,1626900136.0
181,kavarna,bg,43.4333,28.3333,20.6,80.0,74.0,7.79,1626900406.0
182,adre,td,13.4667,22.2,22.09,90.0,100.0,6.6,1626899963.0
183,yellowknife,ca,62.456,-114.3525,22.4,64.0,75.0,4.63,1626899948.0
184,lebu,cl,-37.6167,-73.65,12.07,90.0,100.0,2.4,1626899882.0
185,nome,us,64.5011,-165.4064,8.98,93.0,90.0,3.6,1626900023.0
186,san rafael,ar,-34.6177,-68.3301,17.47,21.0,98.0,3.92,1626900101.0
187,houma,us,29.5958,-90.7195,33.34,59.0,40.0,5.66,1626900407.0
188,khatanga,ru,71.9667,102.5,11.48,95.0,100.0,1.08,1626899971.0
189,urucara,br,-2.5364,-57.76,24.35,87.0,67.0,1.01,1626900408.0
190,tasiilaq,gl,65.6145,-37.6368,6.09,97.0,100.0,2.89,1626899961.0
191,airai,pw,-8.9266,125.4092,12.41,79.0,15.0,1.25,1626900105.0
192,bathsheba,bb,13.2167,-59.5167,29.34,70.0,75.0,8.23,1626900013.0
193,fomboni,km,-12.28,43.7425,25.01,76.0,0.0,2.61,1626900409.0
194,norman wells,ca,65.282,-126.8329,26.02,44.0,75.0,5.14,1626900019.0
195,bengkulu,id,-3.8004,102.2655,23.42,87.0,30.0,1.56,1626899982.0
196,ratnagiri,in,16.9833,73.3,25.7,85.0,100.0,7.24,1626900349.0
197,honiara,sb,-9.4333,159.95,26.04,85.0,29.0,2.11,1626900326.0
198,sabang,id,5.8933,95.3214,28.15,75.0,100.0,10.27,1626900409.0
199,hurghada,eg,27.2574,33.8129,35.02,23.0,0.0,7.72,1626899992.0
200,port augusta,au,-32.5,137.7667,8.08,91.0,100.0,9.53,1626900410.0
201,renfrew,ca,55.872,-4.3925,22.97,64.0,12.0,2.06,1626900309.0
202,ust-ilimsk,ru,58.0006,102.6619,14.17,91.0,100.0,1.71,1626900410.0
203,hamilton,bm,39.1834,-84.5333,28.91,60.0,75.0,4.12,1626899816.0
204,volchikha,ru,52.0333,80.3833,16.4,71.0,0.0,3.73,1626900410.0
205,mar del plata,ar,-38.0023,-57.5575,13.01,33.0,0.0,4.47,1626899863.0
206,makrinitsa,gr,39.4,22.9833,25.72,51.0,0.0,4.65,1626900411.0
207,nalut,ly,30.3333,10.85,29.05,26.0,0.0,9.53,1626900411.0
208,quesnel,ca,52.9999,-122.5029,14.28,77.0,20.0,2.06,1626899889.0
209,terrace,ca,54.5163,-128.6035,17.46,77.0,90.0,6.17,1626900412.0
210,ramhormoz,ir,31.28,49.6035,37.32,29.0,10.0,2.8,1626900412.0
211,vega de alatorre,mx,20.0333,-96.6333,30.49,66.0,59.0,5.47,1626900412.0
212,isangel,vu,-19.55,169.2667,24.44,84.0,21.0,1.2,1626900046.0
213,ayorou,ne,14.7308,0.9174,30.81,48.0,100.0,2.5,1626900413.0
214,oxford,us,51.7522,-1.256,25.09,70.0,0.0,3.09,1626900413.0
215,sterling,us,39.0062,-77.4286,31.92,53.0,40.0,0.45,1626900413.0
216,rocha,uy,-34.4833,-54.3333,9.03,83.0,17.0,1.66,1626900413.0
217,kolyvan,ru,55.3053,82.7391,13.79,80.0,18.0,0.79,1626900414.0
218,lorengau,pg,-2.0226,147.2712,27.22,77.0,75.0,1.09,1626899989.0
219,marzuq,ly,14.4,46.4667,23.8,66.0,31.0,4.06,1626900316.0
220,lazaro cardenas,mx,17.9583,-102.2,30.7,66.0,86.0,3.22,1626900249.0
221,moth,in,25.7167,78.95,29.08,77.0,100.0,2.94,1626900414.0
222,cabedelo,br,-6.9811,-34.8339,24.37,81.0,6.0,6.82,1626900415.0
223,ahlat,tr,38.7518,42.4814,21.25,34.0,0.0,2.47,1626900415.0
224,key west,us,24.5557,-81.7826,31.67,70.0,20.0,3.09,1626900415.0
225,hauterive,ca,46.0901,3.4459,22.42,83.0,3.0,1.51,1626900416.0
226,chuy,uy,-33.6971,-53.4616,10.21,74.0,2.0,0.17,1626899974.0
227,fortuna,us,40.5982,-124.1573,25.79,67.0,1.0,2.68,1626900035.0
228,murud,in,18.3258,72.965,26.66,87.0,100.0,9.16,1626900416.0
229,kingman,us,35.1894,-114.053,38.76,30.0,99.0,4.44,1626900417.0
230,san remo,it,43.8182,7.7612,23.99,90.0,54.0,0.45,1626900417.0
231,terneuzen,nl,51.2809,3.8392,21.14,86.0,0.0,3.11,1626900417.0
232,umm kaddadah,sd,13.6017,26.6876,25.42,72.0,100.0,8.52,1626900417.0
233,san jose,gt,37.3394,-121.895,34.76,50.0,20.0,5.14,1626900167.0
234,arrifes,pt,37.7667,-25.7,20.14,73.0,20.0,7.2,1626900075.0
235,kuzhener,ru,56.8111,48.9128,17.34,60.0,100.0,1.41,1626900418.0
236,clyde river,ca,70.4692,-68.5914,4.13,87.0,75.0,3.6,1626899954.0
237,geraldton,au,-28.7667,114.6,13.23,94.0,90.0,2.06,1626900031.0
238,saint anthony,ca,45.0205,-93.218,29.5,63.0,75.0,1.34,1626899959.0
239,sao filipe,cv,14.8961,-24.4956,25.13,83.0,100.0,2.49,1626900021.0
240,richards bay,za,-28.783,32.0377,16.75,78.0,93.0,1.78,1626900419.0
241,surt,ly,31.2089,16.5887,26.0,70.0,0.0,4.15,1626900229.0
242,jibuti,dj,11.5,42.5,32.68,41.0,88.0,2.98,1626900369.0
243,hilo,us,19.7297,-155.09,25.44,82.0,90.0,0.0,1626899974.0
244,tommot,ru,58.9564,126.2925,16.26,92.0,100.0,1.18,1626900419.0
245,beroroha,mg,-21.6667,45.1667,20.9,62.0,28.0,1.84,1626900419.0
246,chernyshevskiy,ru,63.0128,112.4714,12.99,91.0,100.0,1.31,1626900420.0
247,bilibino,ru,68.0546,166.4372,13.87,47.0,100.0,1.06,1626900420.0
248,talnakh,ru,69.4865,88.3972,12.64,58.0,100.0,3.05,1626899983.0
249,tibanban,ph,6.6295,126.0789,27.78,76.0,22.0,3.29,1626900420.0
250,la ronge,ca,55.1001,-105.2842,20.12,82.0,90.0,1.03,1626900421.0
251,port macquarie,au,-31.4333,152.9167,6.98,69.0,7.0,3.97,1626900337.0
252,never,ru,46.9896,3.159,22.86,88.0,0.0,2.62,1626900421.0
253,valparaiso,cl,-33.0393,-71.6273,13.13,83.0,75.0,1.54,1626900278.0
254,parainen,fi,60.3067,22.301,14.38,63.0,4.0,5.04,1626900421.0
255,wajima,jp,37.4,136.9,25.74,87.0,5.0,2.15,1626900422.0
256,cody,us,44.5263,-109.0565,31.06,36.0,1.0,3.6,1626900280.0
257,pareora,nz,-44.4871,171.2132,7.88,97.0,100.0,5.12,1626900422.0
258,bundaberg,au,-24.85,152.35,6.79,82.0,5.0,0.89,1626900422.0
259,grindavik,is,63.8424,-22.4338,13.97,100.0,90.0,4.63,1626899969.0
260,filadelfia,py,39.9523,-75.1638,28.39,78.0,75.0,4.63,1626899792.0
261,necochea,ar,-38.5473,-58.7368,14.46,64.0,100.0,4.39,1626900084.0
262,bridgton,us,44.0548,-70.7128,26.28,78.0,49.0,3.29,1626900423.0
263,leningradskiy,ru,69.3833,178.4167,2.81,78.0,100.0,2.38,1626899993.0
264,udachnyy,ru,66.4167,112.4,15.01,86.0,88.0,2.84,1626900423.0
265,pundaguitan,ph,6.3711,126.1689,28.66,72.0,23.0,4.12,1626900424.0
266,darapidap,ph,17.2131,120.4114,24.96,94.0,100.0,4.54,1626900424.0
267,saint simons,us,31.1352,-81.3901,30.02,81.0,20.0,3.6,1626900424.0
268,torbay,ca,47.6666,-52.7314,12.93,98.0,90.0,6.17,1626900024.0
269,formosa,ar,-26.1775,-58.1781,22.99,40.0,0.0,2.57,1626900425.0
270,rio casca,br,-20.2261,-42.6508,20.79,53.0,10.0,1.66,1626900425.0
271,harda,in,22.3333,77.1,25.44,92.0,100.0,4.75,1626900425.0
272,kita,ml,13.0349,-9.4895,24.72,89.0,100.0,2.71,1626900097.0
273,noyabrsk,ru,63.1994,75.4507,18.6,73.0,100.0,7.74,1626900426.0
274,hasaki,jp,35.7333,140.8333,23.16,84.0,4.0,1.24,1626900033.0
275,sambava,mg,-14.2667,50.1667,21.72,85.0,55.0,6.25,1626900039.0
276,yatou,cn,37.15,122.3833,22.77,88.0,64.0,1.11,1626900426.0
277,madimba,tz,-10.4,40.3333,21.94,92.0,1.0,3.5,1626900426.0
278,berlevag,no,70.8578,29.0864,7.0,81.0,75.0,11.83,1626900427.0
279,fairview,ca,40.8126,-73.999,28.39,59.0,75.0,0.0,1626900309.0
280,phek,in,25.6667,94.5,16.1,99.0,97.0,1.25,1626900427.0
281,ostrovnoy,ru,68.0531,39.5131,7.15,86.0,80.0,4.37,1626900034.0
282,portland,au,45.5234,-122.6762,24.73,45.0,75.0,4.63,1626900417.0
283,mulanje,mw,-16.0316,35.5,19.07,62.0,2.0,1.58,1626900428.0
284,ixtapa,mx,20.7,-105.2,32.9,72.0,99.0,1.79,1626900428.0
285,dingle,ie,10.9995,122.6711,25.22,81.0,100.0,5.18,1626899988.0
286,shahrud,ir,36.4182,54.9763,24.91,22.0,0.0,2.36,1626900428.0
287,champerico,gt,14.3,-91.9167,32.75,69.0,35.0,2.86,1626900429.0
288,marquette,us,46.5333,-87.6335,23.67,49.0,96.0,0.45,1626900247.0
289,dakar,sn,14.6937,-17.4441,29.07,79.0,0.0,5.14,1626900429.0
290,mercedes,ar,-34.6515,-59.4307,17.72,51.0,61.0,3.46,1626900081.0
291,shelburne,ca,44.0787,-80.2041,23.09,33.0,0.0,4.96,1626900137.0
292,jiayuguan,cn,39.8167,98.3,22.42,49.0,73.0,1.65,1626900429.0
293,panguna,pg,-6.3164,155.4848,21.5,93.0,99.0,0.94,1626900430.0
294,darlowo,pl,54.421,16.4107,17.75,78.0,4.0,2.17,1626900430.0
295,husavik,is,66.0449,-17.3389,19.95,66.0,5.0,1.96,1626899954.0
296,abatskoye,ru,56.2875,70.4555,19.07,64.0,28.0,5.29,1626900430.0
297,isla vista,us,34.4133,-119.861,37.97,52.0,1.0,4.12,1626900431.0
298,bandarbeyla,so,9.4942,50.8122,24.85,85.0,56.0,11.64,1626900038.0
299,ugoofaaru,mv,5.6667,73.0,28.5,75.0,100.0,7.71,1626900431.0
300,aginskoye,ru,51.1,114.53,18.04,99.0,100.0,3.0,1626900293.0
301,luderitz,na,-26.6481,15.1594,12.38,50.0,0.0,9.68,1626900055.0
302,kangshan,tw,28.8812,116.4311,24.83,79.0,100.0,4.13,1626900432.0
303,ketchikan,us,55.3422,-131.6461,13.26,100.0,90.0,2.57,1626900432.0
304,toora-khem,ru,52.4675,96.11,14.71,76.0,92.0,1.45,1626900432.0
305,kalat,pk,29.0225,66.5916,21.54,26.0,0.0,2.47,1626900433.0
306,waipawa,nz,-41.4122,175.5153,11.13,87.0,100.0,3.25,1626900433.0
307,dalian,cn,38.9122,121.6022,22.96,88.0,0.0,1.0,1626900433.0
308,narsaq,gl,60.9167,-46.05,10.12,97.0,100.0,0.95,1626899968.0
309,lincoln,us,40.8,-96.667,31.88,51.0,20.0,0.89,1626900157.0
310,bradford,us,53.7939,-1.7521,24.38,66.0,20.0,3.09,1626900434.0
311,pedernales,do,18.0384,-71.744,31.64,53.0,100.0,1.73,1626900434.0
312,alofi,nu,-19.0595,-169.9187,24.94,78.0,40.0,6.17,1626900055.0
313,nioaque,br,-21.1353,-55.83,24.3,20.0,3.0,2.2,1626900434.0
314,raudeberg,no,61.9875,5.1352,12.89,82.0,52.0,5.06,1626900345.0
315,oktyabrskiy,ru,54.4815,53.471,17.57,72.0,68.0,0.41,1626900435.0
316,charters towers,au,-20.1,146.2667,9.53,41.0,7.0,2.74,1626900435.0
317,uinskoye,ru,56.8817,56.5813,18.45,71.0,100.0,0.51,1626900436.0
318,wexford,ie,52.3342,-6.4575,21.42,85.0,99.0,2.01,1626900436.0
319,tarko-sale,ru,64.9225,77.785,20.08,64.0,100.0,8.87,1626900436.0
320,sao tome,br,0.3365,6.7273,24.35,77.0,45.0,3.43,1626900436.0
321,rawlins,us,41.7911,-107.2387,31.12,19.0,1.0,4.63,1626900416.0
